origin               destination        
Admiralty            Admiralty                344.5
                     Beauty World            1392.0
                     Kent Ridge              1404.0
                     Esplanade               1407.0
                     Aljunied                1409.5
                     Raffles Place           1418.0
                     Eunos                   1461.0
                     Stadium                 1461.0
                     Kembangan               1498.0
                     Dover                   1502.0
                     Haw Par Villa           1506.0
                     Bras Basah              1509.0
                     Admiralty               1514.5
                     Commonwealth            1521.0
                     Clarke Quay             1540.0
                     Bugis NSEW              1545.5
                     Chinatown NEL           1551.0
                     Punggol                 1564.0
                     Nicoll Highway          1602.0
                     Clementi                1623.0
                     Tanjong Pagar           1648.0
                     Marina Bay              1663.0
                     Lavender                1680.0
                     Promenade               1683.0
                     Pasir Panjang           1695.0
                     Outram Park NEL         1696.0
                     Outram Park NSEW        1710.0
                     Bedok                   1734.0
                     Marsiling               1735.5
                     Kallang                 1739.0
                     Queenstown              1747.5
                     Woodlands               1779.0
                     Cheng Lim               1792.0
                     Chinatown DTL           1797.0
                     Labrador Park           1855.0
                     Bayfront DTL            1894.0
                     Tiong Bahru             1914.5
                     Downtown                1915.0
                     HarbourFront NEL        1925.0
                     Jurong East             1933.0
                     Bukit Panjang DTL       1940.5
                     Redhill                 1946.0
                     Renjong                 1951.0
                     Tanah Merah             1999.0
                     Kranji                  2023.0
                     Telok Blangah           2027.5
                     Compassvale             2042.0
                     Chinese Garden          2061.0
                     Simei                   2106.0
                     Telok Ayer              2121.0
                     Bayfront CCL            2225.0
                     HarbourFront CCL        2225.0
                     Tampines NSEW           2240.0
                     Lakeside                2258.0
                     Expo NSEW               2481.0
                     Boon Lay                2488.0
                     Yew Tee                 2521.0
                     Pioneer                 2571.0
                     Pasir Ris               2615.5
                     Choa Chu Kang           2685.0
                     Bukit Batok             2940.0
                     Changi Airport          2954.0
                     Bukit Gombak            3061.0
                     Segar                   3427.0
Bishan NSEW          Bishan CCL                54.0
                     Braddell                 309.0
                     Marymount                344.0
                     Ang Mo Kio               385.5
                     Toa Payoh                415.0
                     Lorong Chuan             534.5
                     Serangoon CCL            552.5
                     Yio Chu Kang             552.5
                     Caldecott                581.5
                     Novena                   598.0
                     Serangoon NEL            650.0
                     Bishan NSEW              711.0
                     Khatib                   716.5
